         689521350 function calls (683255439 primitive calls) in 448.732 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000  292.475   14.624 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\configuration.py:232(__call__)
       40    0.002    0.000  292.475    7.312 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\configuration.py:105(__call__)
       20    9.118    0.456  289.815   14.491 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\matching.py:103(_call)
    98712   31.311    0.000  243.431    0.002 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\distance.py:186(compute_distances)
   295856    6.522    0.000  161.098    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:869(cosine_distances)
       20    1.523    0.076  153.078    7.654 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:616(from_bson)
  1459160    0.656    0.000  148.444    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:75(from_serializable)
   809440    1.075    0.000  147.384    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:256(from_serializable)
   295856    0.980    0.000  147.121    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:1211(cosine_similarity)
   809440    3.165    0.000  145.712    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\npyio.py:284(load)
   809440    7.373    0.000  140.449    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:699(read_array)
   809440    4.292    0.000  124.239    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:570(_read_array_header)
   809440   11.831    0.000   98.892    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:535(_filter_header)
  1183424    9.249    0.000   87.871    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:486(check_array)
   591712    9.023    0.000   74.120    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:1733(normalize)
 16188800   24.904    0.000   68.332    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:429(_tokenize)
3451880/2860168    2.920    0.000   55.785    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1183424    6.555    0.000   53.187    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:90(_assert_all_finite)
  1183424    2.163    0.000   44.003    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:870(_safe_accumulator_op)
   295856    0.746    0.000   42.479    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:63(check_pairwise_arrays)
  1380848    0.974    0.000   40.777    0.000 <__array_function__ internals>:2(sum)
  1380848    1.591    0.000   38.715    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2123(sum)
  2190328   38.069    0.000   38.069    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1380848    2.018    0.000   36.978    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
 49485927   19.794    0.000   32.625    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:89(__getitem__)
   295856   29.303    0.000   29.541    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:120(safe_sparse_dot)
  1183424   28.134    0.000   28.134    0.000 {built-in method numpy.array}
   295856    4.138    0.000   22.975    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\distance.py:244(<listcomp>)
 14569920    4.104    0.000   19.444    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:98(_compile)
   809440    0.562    0.000   17.453    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:257(untokenize)
   809440    0.817    0.000   17.211    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\utils.py:959(safe_eval)
   809440   10.221    0.000   16.635    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:183(untokenize)
   809440    1.202    0.000   16.394    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:54(literal_eval)
 14570592   15.825    0.000   15.825    0.000 {method 'match' of 're.Pattern' objects}
 14569923    2.749    0.000   15.339    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\re.py:250(compile)
 14569923    6.829    0.000   12.590    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
114027623    8.968    0.000   12.553    0.000 {built-in method builtins.isinstance}
     1400    0.004    0.000   11.412    0.008 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\interaction.py:21(__call__)
     1400    0.115    0.000   11.406    0.008 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\experiments\automatic_feedback.py:15(_call)
     2840   11.193    0.004   11.239    0.004 {built-in method builtins.print}
   591712    1.924    0.000   11.207    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:51(row_norms)
   809440    0.405    0.000   10.164    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:33(parse)
   809440    9.666    0.000    9.666    0.000 {built-in method builtins.compile}
   591712    0.317    0.000    9.139    0.000 <__array_function__ internals>:2(einsum)
   295856    0.383    0.000    7.455    0.000 <__array_function__ internals>:2(clip)
   591712    0.284    0.000    7.301    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\einsumfunc.py:997(einsum)
   591712    7.017    0.000    7.017    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
   591712    4.928    0.000    6.727    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:84(_handle_zeros_in_scale)
   295856    0.308    0.000    6.690    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2046(clip)
 25353207    6.664    0.000    6.664    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:242(value)
   295856    0.222    0.000    6.382    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
  1183424    2.714    0.000    6.309    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:253(_num_samples)
  3943484    2.919    0.000    6.118    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:103(__setitem__)
   295856    0.262    0.000    6.054    0.000 {method 'clip' of 'numpy.ndarray' objects}
