         186470104 function calls (183578479 primitive calls) in 352.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000  272.353   27.235 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\configuration.py:232(__call__)
       20    0.001    0.000  272.353   13.618 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\configuration.py:105(__call__)
       10    0.077    0.008  271.180   27.118 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\matching.py:523(_call)
      499    2.285    0.005  233.833    0.469 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\vector_database.py:265(updating_distances_documents)
1718/1714    0.013    0.000  216.570    0.126 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\decorators.py:115(handler)
1718/1714    0.006    0.000  216.553    0.126 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\decorators.py:154(handler)
1718/1714    0.020    0.000  216.547    0.126 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\decorators.py:38(handler)
3431/1716    0.008    0.000  214.731    0.125 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\interceptor.py:32(intercept_unary_unary)
      569    0.005    0.000  214.359    0.377 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\orm\collection.py:640(search)
      569    0.005    0.000  214.338    0.377 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\grpc_handler.py:737(search)
      569    0.014    0.000  214.178    0.376 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\grpc_handler.py:711(_execute_search_requests)
      570    0.002    0.000  214.070    0.376 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_interceptor.py:240(__call__)
 1139/570    0.005    0.000  214.068    0.376 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_interceptor.py:255(_with_call)
 1139/570    0.006    0.000  214.062    0.376 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_interceptor.py:268(continuation)
      570    0.003    0.000  214.033    0.375 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_channel.py:1032(with_call)
      570    0.005    0.000  214.022    0.375 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_channel.py:996(_blocking)
      569    0.001    0.000  214.005    0.376 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_interceptor.py:292(with_call)
      570  213.897    0.375  213.908    0.375 {method 'next_event' of 'grpc._cython.cygrpc.SegregatedCall' objects}
       10    0.768    0.077   76.472    7.647 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:620(from_bson)
   729580    0.324    0.000   74.197    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:75(from_serializable)
   404720    0.499    0.000   73.671    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:256(from_serializable)
   404720    1.554    0.000   72.860    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\npyio.py:284(load)
   404720    3.817    0.000   70.263    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:699(read_array)
   404720    2.163    0.000   62.064    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:570(_read_array_header)
   404720    5.848    0.000   49.153    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:535(_filter_header)
   512619   42.364    0.000   42.387    0.000 {built-in method builtins.print}
  8094400   12.356    0.000   34.061    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:429(_tokenize)
       70    0.753    0.011   31.623    0.452 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\vector_database.py:232(compute_inital_distances)
  7284960    2.052    0.000    9.707    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:98(_compile)
   404720    0.399    0.000    8.836    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\utils.py:959(safe_eval)
   404720    0.267    0.000    8.601    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:257(untokenize)
   404720    0.606    0.000    8.437    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:54(literal_eval)
   404720    5.048    0.000    8.213    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:183(untokenize)
  7285632    7.957    0.000    7.957    0.000 {method 'match' of 're.Pattern' objects}
  7284963    1.366    0.000    7.655    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\re.py:250(compile)
  7284963    3.411    0.000    6.289    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
   240369    0.224    0.000    5.327    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\orm\search.py:150(__next__)
      700    0.002    0.000    5.320    0.008 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\interaction.py:21(__call__)
      700    0.056    0.000    5.317    0.008 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\experiments\automatic_feedback.py:15(_call)
   404720    0.204    0.000    5.069    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:33(parse)
   240369    0.250    0.000    5.062    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:34(__next__)
   404720    4.818    0.000    4.818    0.000 {built-in method builtins.compile}
       10    0.000    0.000    4.736    0.474 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\preprocessing\embedding.py:129(__init__)
       10    0.000    0.000    4.736    0.474 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:115(load)
        1    0.000    0.000    4.734    4.734 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:499(load)
        1    0.000    0.000    4.733    4.733 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:492(__init__)
        1    0.000    0.000    4.733    4.733 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:42(__init__)
   240439    0.173    0.000    3.907    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:20(__getitem__)
   239800    0.810    0.000    3.230    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\abstract.py:316(get__item)
        1    0.000    0.000    2.816    2.816 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\util.py:407(snapshot_download)
       14    0.000    0.000    2.808    0.201 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\api.py:14(request)
       14    0.000    0.000    2.796    0.200 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:500(request)
       14    0.000    0.000    2.784    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:671(send)
       14    0.000    0.000    2.781    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\adapters.py:436(send)
       14    0.000    0.000    2.773    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
       14    0.000    0.000    2.769    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
3237760/404720    2.320    0.000    2.706    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\ast.py:79(_convert)
       13    0.000    0.000    2.588    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:497(cached_download)
    26/13    0.000    0.000    2.585    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:349(_request_wrapper)
       13    0.000    0.000    2.584    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\utils\_http.py:33(http_backoff)
  7284960    1.798    0.000    2.456    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\types.py:171(__get__)
   239800    0.621    0.000    2.303    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\entity_helper.py:158(extract_row_data_from_fields_data)
      571    0.009    0.000    2.301    0.004 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\orm\collection.py:61(__init__)
