         343142369 function calls (340008494 primitive calls) in 214.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000  135.683   13.568 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\configuration.py:232(__call__)
       20    0.001    0.000  135.682    6.784 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\configuration.py:105(__call__)
       10    4.384    0.438  134.535   13.454 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\matching.py:103(_call)
    48836   14.302    0.000  112.621    0.002 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\distance.py:186(compute_distances)
       10    0.739    0.074   74.767    7.477 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:620(from_bson)
   146368    3.098    0.000   74.236    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:869(cosine_distances)
   729580    0.347    0.000   72.484    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:75(from_serializable)
   404720    0.494    0.000   71.934    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:256(from_serializable)
   404720    1.524    0.000   71.135    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\npyio.py:284(load)
   404720    3.680    0.000   68.598    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:699(read_array)
   146368    0.454    0.000   67.678    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:1211(cosine_similarity)
   404720    2.096    0.000   60.686    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:570(_read_array_header)
   404720    5.881    0.000   48.243    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:535(_filter_header)
   585472    4.278    0.000   39.946    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:486(check_array)
   292736    4.031    0.000   33.564    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:1733(normalize)
  8094400   12.011    0.000   33.112    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:429(_tokenize)
1707740/1415004    1.324    0.000   25.204    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   585472    3.060    0.000   24.112    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:90(_assert_all_finite)
   585472    1.014    0.000   19.823    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:870(_safe_accumulator_op)
   146368    0.347    0.000   19.364    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:63(check_pairwise_arrays)
   683144    0.444    0.000   18.328    0.000 <__array_function__ internals>:2(sum)
   683144    0.710    0.000   17.386    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2123(sum)
  1087884   17.162    0.000   17.162    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   683144    0.950    0.000   16.608    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
 24490639    9.123    0.000   15.104    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:89(__getitem__)
   146368   14.178    0.000   14.297    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:120(safe_sparse_dot)
   585472   13.206    0.000   13.206    0.000 {built-in method numpy.array}
   146368    1.941    0.000   10.726    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\distance.py:244(<listcomp>)
  7284960    2.020    0.000    9.503    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:98(_compile)
   404720    0.283    0.000    8.614    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:257(untokenize)
   404720    0.402    0.000    8.441    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\utils.py:959(safe_eval)
   404720    5.049    0.000    8.211    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:183(untokenize)
