         13296276 function calls (13061472 primitive calls) in 632.891 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  621.046  621.046 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\configuration.py:232(__call__)
        2    0.000    0.000  621.046  310.523 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\configuration.py:105(__call__)
        1    0.000    0.000  620.933  620.933 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\matching.py:523(_call)
        1  620.933  620.933  620.933  620.933 {method 'enable' of '_lsprof.Profiler' objects}
        1    0.085    0.085    7.124    7.124 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:616(from_bson)
    72958    0.040    0.000    6.893    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:75(from_serializable)
    32379    0.051    0.000    6.822    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:256(from_serializable)
    32379    0.151    0.000    6.739    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\npyio.py:284(load)
    32379    0.393    0.000    6.486    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:699(read_array)
    32379    0.207    0.000    5.659    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:570(_read_array_header)
        1    0.000    0.000    4.726    4.726 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\preprocessing\embedding.py:129(__init__)
        1    0.000    0.000    4.726    4.726 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:115(load)
        1    0.000    0.000    4.725    4.725 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:499(load)
        1    0.000    0.000    4.725    4.725 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\resources.py:492(__init__)
        1    0.000    0.000    4.725    4.725 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:42(__init__)
    32379    0.641    0.000    4.480    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:535(_filter_header)
   647580    1.087    0.000    2.974    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:429(_tokenize)
        1    0.000    0.000    2.813    2.813 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\util.py:407(snapshot_download)
       14    0.000    0.000    2.806    0.200 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\api.py:14(request)
       14    0.000    0.000    2.791    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:500(request)
       14    0.000    0.000    2.778    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\sessions.py:671(send)
       14    0.000    0.000    2.774    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\adapters.py:436(send)
       14    0.000    0.000    2.767    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
       14    0.000    0.000    2.763    0.197 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
       13    0.000    0.000    2.582    0.199 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:497(cached_download)
    26/13    0.000    0.000    2.578    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:349(_request_wrapper)
       13    0.000    0.000    2.578    0.198 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\utils\_http.py:33(http_backoff)
        1    0.000    0.000    1.912    1.912 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:794(_load_sbert_model)
        1    0.000    0.000    1.911    1.911 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:113(load)
        1    0.000    0.000    1.911    1.911 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:20(__init__)
        1    0.000    0.000    1.889    1.889 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\auto\auto_factory.py:390(from_pretrained)
