         155339 function calls (155323 primitive calls) in 0.106 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.026    0.026    0.076    0.076 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\distance.py:186(compute_distances)
        1    0.001    0.001    0.024    0.024 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:869(cosine_distances)
        1    0.000    0.000    0.023    0.023 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:1211(cosine_similarity)
        4    0.000    0.000    0.015    0.004 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:486(check_array)
        4    0.015    0.004    0.015    0.004 {built-in method numpy.array}
    16186    0.010    0.000    0.015    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:89(__getitem__)
        2    0.003    0.001    0.015    0.007 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:1733(normalize)
     8093    0.006    0.000    0.013    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:103(__setitem__)
    13/11    0.000    0.000    0.011    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
      100    0.002    0.000    0.011    0.000 {built-in method builtins.min}
        4    0.001    0.000    0.010    0.003 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:90(_assert_all_finite)
     8093    0.002    0.000    0.009    0.000 c:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\experiments\test_extraction.py:112(<lambda>)
        1    0.002    0.002    0.009    0.009 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\distance.py:244(<listcomp>)
        4    0.000    0.000    0.009    0.002 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:870(_safe_accumulator_op)
        6    0.000    0.000    0.009    0.001 <__array_function__ internals>:2(sum)
        6    0.000    0.000    0.009    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2123(sum)
        6    0.000    0.000    0.009    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        6    0.009    0.001    0.009    0.001 {method 'reduce' of 'numpy.ufunc' objects}
    32630    0.005    0.000    0.008    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.006    0.006 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\pairwise.py:63(check_pairwise_arrays)
     8193    0.006    0.000    0.006    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:35(__init__)
    24282    0.004    0.000    0.004    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:84(signals)
     8199    0.001    0.000    0.003    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\abc.py:96(__instancecheck__)
        2    0.000    0.000    0.002    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:51(row_norms)
        2    0.000    0.000    0.002    0.001 <__array_function__ internals>:2(einsum)
        2    0.000    0.000    0.002    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\einsumfunc.py:997(einsum)
        2    0.002    0.001    0.002    0.001 {built-in method numpy.core._multiarray_umath.c_einsum}
        1    0.002    0.002    0.002    0.002 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:120(safe_sparse_dot)
     8094    0.002    0.000    0.002    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:242(value)
     8199    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    24290    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     8093    0.001    0.000    0.001    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\signals.py:134(value)
        2    0.000    0.000    0.000    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:355(nuggets)
        2    0.000    0.000    0.000    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\preprocessing\_data.py:84(_handle_zeros_in_scale)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(clip)
        1    0.000    0.000    0.000    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2046(clip)
        1    0.000    0.000    0.000    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
        1    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:125(_clip)
      100    0.000    0.000    0.000    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:285(__setitem__)
        1    0.000    0.000    0.000    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:106(_clip_dep_invoke_with_casting)
      300    0.000    0.000    0.000    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\data\data.py:256(nuggets)
        1    0.000    0.000    0.000    0.000 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\matching\distance.py:107(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\logging\__init__.py:1412(debug)
